"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3172","CRM_LOGIN_TC_025 - Tick/Untick checkbox ""Remember me"" hoạt động đúng","firefox","2026-08-05","passed","2026-08-05","Login Module - Remember Me Checkbox","auth/login-remember-me.spec.ts","",""
"","3175","CRM_LOGIN_TC_009 - Email thiếu phần domain sau ""@""","firefox","2026-08-05","passed","2026-08-05","Login Module - Email Field Validation","auth/login-email-validation.spec.ts","",""
"","6071","CRM_DASHBOARD_TC_013 - Click icon Notifications mở dropdown","chromium","2026-08-05","passed","2026-08-05","Dashboard Module - Header","dashboard/dashboard-header.spec.ts","",""
"","6269","CRM_DASHBOARD_TC_010 - Click icon Todo trên Header điều hướng đúng trang","firefox","2026-08-05","passed","2026-08-05","Dashboard Module - Header","dashboard/dashboard-header.spec.ts","",""
"","10126","CRM_DASHBOARD_TC_013 - Click icon Notifications mở dropdown","webkit","2026-08-05","passed","2026-08-05","Dashboard Module - Header","dashboard/dashboard-header.spec.ts","",""
"","5762","CRM_DASHBOARD_TC_028 - Chọn thêm năm trong Finance Overview vẫn hiển thị đúng định dạng tiền tệ","chromium","2026-08-05","passed","2026-08-05","Dashboard Module - Widget Content","dashboard/dashboard-widgets.spec.ts","",""
"","5628","CRM_DASHBOARD_TC_022 - Progress bar trong Quick Statistics có giá trị phần trăm hợp lệ","chromium","2026-08-05","passed","2026-08-05","Dashboard Module","dashboard/dashboard.spec.ts","",""
"","5789","CRM_DASHBOARD_TC_033 - Chuyển view Calendar (week/day/month) hoạt động đúng","chromium","2026-08-05","passed","2026-08-05","Dashboard Module - Widget Content","dashboard/dashboard-widgets.spec.ts","",""
"","5677","CRM_DASHBOARD_TC_032 - Widget Calendar hiển thị đúng tháng/năm hiện tại và đủ 7 cột thứ","firefox","2026-08-05","passed","2026-08-05","Dashboard Module - Widget Content","dashboard/dashboard-widgets.spec.ts","",""
"","3872","CRM_LOGIN_TC_008 - Email thiếu ký tự ""@""","firefox","2026-08-05","passed","2026-08-05","Login Module - Email Field Validation","auth/login-email-validation.spec.ts","",""
"","2999","CRM_LOGIN_TC_005 - bỏ trống đồng thời cả Email và Password","chromium","2026-08-05","passed","2026-08-05","Login Module","auth/login.spec.ts","",""
"","4693","CRM_LOGIN_TC_019 - Password chỉ chứa khoảng trắng (whitespace-only)","webkit","2026-08-05","passed","2026-08-05","Login Module - Password Field Validation","auth/login-password-validation.spec.ts","",""
"","2953","CRM_LOGIN_TC_022 - Ký tự Password được ẩn (mask) khi nhập","webkit","2026-08-05","passed","2026-08-05","Login Module - Password Field Validation","auth/login-password-validation.spec.ts","",""
"","5764","CRM_DASHBOARD_TC_040 - Widget ""Leads Chart"" hiển thị đúng tiêu đề và render biểu đồ","chromium","2026-08-05","passed","2026-08-05","Dashboard Module - Widget Content","dashboard/dashboard-widgets.spec.ts","",""
